Gene,Mock,30min,90min,180min
20ALPHA-HSD,0.273836,0,-0.276412,-1.55439
5htr2c,0.796874,1.93905,0.0162856,-1.5919
A1BG,-0.849163,2.12856,0.768223,-2.18655
A1CF,0.0472473,-2.12863,-0.559807,-2.52861
A2M,0.303871,-0.0930625,0.330809,2.46019
A2ML1,0.136339,-1.15879,-0.368789,3.80787
A3GALT2,0.749959,1.67438,1.04816,-0.722901
A4GALT,-0.170689,0.412479,0.228573,0.671992
A4GNT,0.359945,1.04383,-0.358588,-0.0369014
AAAS,0.270698,0.745184,0.3254,0.937961
AACS,0.0960904,-0.0675547,-0.0193959,-0.0444032
AADAC,-1.20465,-1.01017,-1.42297,2.5779
AADACL2,-2.29716,-1.74506,-1.76613,-2.77881
AADACL4,-1.82274,0,0,-3.82044
AADAT,-0.169211,-0.533615,-0.483751,-1.35231
AAED1,-0.900087,-1.24574,-0.589104,-1.11237
AAGAB,-0.501109,-2.01093,-0.699303,-0.560902
AAK1,-1.53115,-1.91597,-1.64511,-2.69663
AAMDC,0.665315,1.30282,0.817564,-0.252265
AAMP,0.51131,0.868382,0.722596,0.221319
AANAT,0.216328,-0.161437,0.40611,1.72458
AAR2,0.443069,0.661985,0.66675,0.205363
AARD,-0.214392,-2.82145,0.407993,-0.725846
AARS,0.0761602,0.34852,0.165334,-0.723221
AARS2,0.261585,0.553045,0.342928,-0.0625671
AARSD1,0.635556,1.3496,0.916614,0.268859
AASDH,-0.904676,-1.94656,-1.10346,-0.127218
AASDHPPT,-0.837577,-1.14971,-0.627645,-0.696152
AASS,-0.969363,-2.22329,-1.15762,-1.66689
AATF,0.297443,1.09638,0.778903,0.881762
AATK,0.209993,-0.0107826,0.392182,-2.26991
ABAT,-0.573383,-0.874036,-0.605612,-2.54441
ABCA1,-2.71306,-4.60329,-3.29115,-1.10377
ABCA10,-0.569879,-0.832472,-0.408938,-2.08786
ABCA12,-0.481585,-1.94388,-0.90467,-2.97999
ABCA13,-1.22908,-2.16035,-1.00922,5.9873
ABCA13-2,-0.336682,-2.39734,-0.914266,4.953
ABCA2,-0.825812,-2.49117,-1.12345,-2.75045
ABCA3,-0.154458,0.829514,0.0595607,-1.97915
ABCA4,-0.306121,-0.442137,-0.209452,-2.36537
ABCA5,-1.14462,-2.07659,-0.948168,-1.03554
ABCA6,0.618028,-0.238181,0.360346,-0.814256
ABCA7,-0.198068,0.562348,-0.0819252,-1.2694
ABCA9,-0.498937,-0.984344,-0.581266,-1.96589
ABCB1,-0.582594,-1.18561,-0.840518,-1.43594
ABCB10,-0.488649,-1.03866,-0.54438,1.06418
ABCB11,-0.890854,-0.76691,-0.640403,-0.177093
ABCB4,0.477,-1.34913,-0.217581,-1.72172
ABCB6,0.176716,0.888693,0.46118,-0.614052
ABCB7,-0.257027,-1.08603,-0.298403,0.623496
ABCB8,0.181714,0.601923,0.15856,0.148943
ABCB9,-0.197725,-0.0637161,-0.281206,-2.40358
ABCC1,-1.01584,-2.84304,-1.17968,0.543999
ABCC10,-0.285448,-0.226006,-0.0659926,0.982125
ABCC11,-0.16271,-1.2984,-1.24762,-1.53915
ABCC12,0.376009,-0.0855722,-0.0337067,-0.446749
ABCC2,-0.186636,-1.21017,-0.596095,-1.40512
ABCC3,-0.250131,-0.620947,0.0531645,2.05529
ABCC4,-0.564011,-1.41434,-0.778946,1.55913
ABCC4-2,0,-2.52487,-3.68354,-1.43318
ABCC5,-0.260226,-0.852269,-0.544547,-2.08662
ABCC6,-0.0121982,-0.17819,0.0345787,-1.75184
ABCC8,0.206235,-0.236744,0.293797,-3.11544
ABCC9,-0.518764,-2.15908,-0.989201,-1.0914
ABCD1,0.367247,0.224309,0.372485,0.48526
ABCD2,-2.04511,-3.51402,-2.32356,-4.45
ABCD3,-0.907098,-1.18281,-0.737727,-1.1967
ABCD4,-0.184661,-0.50455,0.0157238,0.233409
ABCE1,-0.73094,-1.37339,-0.933185,-0.310289
ABCF1,0.179862,0.798462,0.302752,0.355298
ABCF2,0.0606794,-0.0581725,0.0880398,0.0672679
ABCF3,-0.056257,-0.141241,0.0362362,-0.528119
ABCG1,-1.37549,-2.58549,-1.45209,-1.05651
ABCG2,0.208618,-0.6975,0.220716,-1.23087
ABCG4,-0.146387,0.101189,-0.266942,-3.23394
ABCG5,1.51011,-1.78559,1.25744,-2.46643
ABCG8,-1.18237,-1.62616,0.44603,-2.66447
ABHD1,0.351416,0.146483,0.701626,1.53593
ABHD10,0.146088,0.127175,0.0388661,-0.546045
ABHD11,0.54481,1.97968,0.636204,-0.746905
ABHD12,0.361517,1.19297,0.838571,0.0191954
ABHD12B,0.438659,-1.45212,0.269871,-0.443615
ABHD13,-0.879719,-2.12275,-1.10407,0.296975
ABHD14A,0.607,0.847146,0.726198,-0.721392
ABHD14B,0.418068,-0.209848,0.137723,1.1278
ABHD15,-1.19529,-1.0718,-0.910583,-1.60546
ABHD16A,0.21239,0.580865,0.419409,-0.40443
ABHD16B,-0.594,-1.50854,-0.451256,0.0158704
ABHD17A,0.606134,1.52389,1.00983,0.507921
ABHD17C,-0.244675,-0.584751,0.450127,0.51356
ABHD2,-2.23507,-2.28186,-2.35057,-1.72337
ABHD3,-0.399397,0.0882371,-0.283855,-1.52434
ABHD4,0.301565,0.517602,0.352305,-0.635916
ABHD5,0.0284327,-0.414689,-0.0873512,-0.612209
ABHD6,0.211128,-0.116496,-0.0415235,-0.809043
ABHD8,0.751178,1.69139,0.870733,-0.56556
ABI1,-0.700015,-1.17471,-0.516423,0.595551
ABI2,-0.832124,-1.08597,-0.816424,-1.89554
ABI3,0.428855,0.828521,0.662114,3.08507
ABI3BP,-0.62309,-0.793578,-0.582114,-0.823288
ABL1,-0.135206,-0.653658,0.202771,-0.23071
ABL2,-2.9817,-2.14302,-2.63091,-1.76934
ABLIM1,-0.557805,-1.32127,-0.712062,0.0831059
ABLIM2,0.0988123,0.685565,0.320868,-1.90736
ABLIM3,0.0373942,0.150814,0.292716,-1.53233
ABO,0.28289,-0.105393,1.36774,4.47312
ABP1,1.36202,-0.37741,0.841323,3.3284
ABR,0.163495,0.718081,0.410568,-0.382698
ABRA,0,0.826836,1.74254,-2.533
ABRACL,0.044867,0.0444704,0.600065,3.40468
ABT1,-0.404978,-0.74098,-0.23012,-0.159247
ABTB1,0.19961,0.825301,0.106367,0.577492
ABTB2,-0.202986,-0.476593,-0.155817,-0.497882
ACAA1,0.485881,1.24581,0.897018,-0.0182365
ACAA2,0.466369,0.292656,0.46163,-0.0544109
ACACA,-0.437591,-0.737948,-0.495561,-1.27458
ACACB,-0.302144,-0.247234,-0.827004,0.0664439
ACAD10,-0.278116,-0.908102,-0.480629,-0.527736
ACAD11,-1.08415,-1.94934,-1.03682,-0.414394
ACAD8,0.42438,0.791106,0.621385,-0.0448043
ACAD9,-1.05424,-0.601259,-0.429343,0.584108
ACAD9-2,0.257069,1.10627,0.42538,0.96674
ACADL,-0.942689,-1.00855,-0.856784,-2.27501
ACADM,-0.418401,-1.30581,-0.6182,-0.533419
ACADS,0.511893,0.841121,0.856921,0.273067
ACADSB,-0.726189,-1.17359,-0.881259,-1.52404
ACADVL,0.216042,0.951618,0.362515,-0.677663
ACAN,-0.000529215,-1.81298,-0.671246,-2.76108
ACAP1,0.117788,0.290174,0.468227,2.08998
ACAP2,-2.83087,-3.77989,-2.60507,-0.715034
ACAP3,-0.0660651,0.105231,0.0482084,-1.0319
ACAT1,0.169699,-0.48774,0.042707,0.0112448
ACAT2,0.110525,-0.23497,0.0247343,-0.684413
ACBD3,-0.698734,-1.08111,-0.758442,-0.622412
ACBD4,0.283625,0.986748,0.42441,-0.208942
ACBD5,-0.919569,-1.15483,-0.957431,-1.30519
ACBD6,0.208746,0.760826,0.386377,-0.106374
ACBD7,-0.439259,-0.363928,-0.206865,-1.81
ACCN1,0.381109,0.541994,0.200453,-2.53227
ACCN2,-0.388254,0.496462,-0.288102,-2.47397
ACCN3,0.363485,1.98639,0.933058,1.98139
ACCN5,-0.219725,-3.03587,0.141987,-2.1117
ACCS,0.343342,1.00004,0.736469,-0.30787
ACCSL,0.972579,-1.16936,-0.0310864,-2.53749
ACD,0.559677,1.23448,0.674348,0.249256
ACE,0.675936,0.191635,1.11798,0.0721292
ACE2,-0.0361322,-0.16167,0.701256,0.364541
ACE3,-0.259892,2.90046,0.873475,-0.971627
ACER1,-0.0864227,-1.12731,-0.275182,-2.23264
ACER2,-1.65078,-1.8674,-2.36308,-2.77974
ACER3,-0.508069,-1.62096,-0.463291,-1.42421
ACHE,0.155,0.888781,0.375062,-1.9729
ACIN1,0.226945,0.321068,0.353581,0.917764
ACKR2,1.2779,1.56212,1.17312,-1.26692
ACLY,-0.567224,-0.918699,-0.713135,-1.44953
ACMSD,0.0539758,1.97072,0.376315,-1.79683
ACN9,-0.237041,-0.896789,-0.206105,-0.298642
ACO1,0.103341,-0.155041,0.0583319,-0.380837
ACO2,0.197536,0.910836,0.421638,-0.743411
ACOT11,-0.790575,-1.44572,-0.804718,-0.385797
ACOT12,-0.25301,-0.165794,-0.231681,-1.6012
ACOT13,-0.516278,-0.632474,-0.578747,-0.761296
ACOT2,0.367832,0.490805,0.173619,-0.0629765
ACOT2-2,-1.10346,-1.56784,0.126186,-0.491256
ACOT4,-0.143284,0.0291154,-0.206507,-0.946538
ACOT7,0.328441,1.52471,0.58263,-2.17687
ACOT8,0.405033,1.27766,0.760845,-0.0371406
ACOT9,0.458802,0.329821,0.41063,0.868743
ACOX1,-2.13165,-3.30082,-2.32435,-0.534403
ACOX2,-0.223374,-0.382076,-0.0874569,-1.04032
ACOX3,-0.510649,-1.26861,-0.35666,-0.445472
ACOX3-2,0.18547,0.448983,0.479106,0.224127
ACOXL,-0.168128,0.157761,-0.134584,0.527726
ACP2,-0.578552,-0.604098,-0.241354,-0.640012
ACP5,1.22829,0.630278,0.718759,1.98616
ACP6,0.369204,-0.158255,0.390157,0.251465
ACPL2,-0.976947,-3.01185,-1.32038,0.110732
ACPP,-0.350293,-1.78368,-1.00583,3.29715
ACPT,0.84126,1.52802,0.843821,-0.96813
ACR,-1.6444,-0.73657,-1.08471,-2.29332
ACRBP,0.228662,0.134286,0.127058,-1.30834
ACRC,0.18028,-0.822843,-0.201536,0.408075
ACRV1,-0.825404,0,-0.756419,-2.61676
ACSBG1,0.166437,0.608027,0.122099,-2.79816
